frequency (Hz),audio amplitude (a.u.),referencia,Amplitude Normalizada,Nivel Sonoro (db)
200,"1,615019889","1,059897323","1,52375","1,829140798"
250,"1,459009889","1,436193083","1,01589","0,06845404756"
300,"2,051542101","2,133078269","0,96178","-0,1692635747"
350,"3,743198973","2,927572838","1,27860","1,067352039"
400,"4,146578968","3,440249773","1,20531","0,8109996569"
450,"3,900222897","4,197382112","0,92920","-0,3188907977"
500,"4,793639476","4,951705298","0,96808","-0,1408942149"
550,"6,359803835","5,854279417","1,08635","0,3597027336"
600,"6,496224788","6,677898894","0,97279","-0,1197879505"
650,"5,259862511","6,687293771","0,78655","-1,042760099"
700,"5,463151369","6,539155276","0,83545","-0,7807841626"
750,"6,003866878","6,697152547","0,89648","-0,4745913717"
800,"7,286359891","7,151150051","1,01891","0,08134727453"
850,"10,48649946","7,563344085","1,38649","1,419166803"
900,"8,839087043","7,761759722","1,13880","0,5644721633"
950,"5,596505242","8,41832394","0,66480","-1,773087187"
1000,"5,761407888","8,25183213","0,69820","-1,560217615"
1050,"7,227325156","8,875172468","0,81433","-0,8919920731"
1100,"9,154056418","10,43941284","0,87687","-0,5706248793"
1150,"12,86029047","10,63702982","1,20901","0,8243040118"
1200,"19,15346855","11,49566249","1,66615","2,217134284"
1250,"9,170507928","11,31117851","0,81075","-0,911144657"
1300,"7,303312327","10,7258364","0,68091","-1,669112947"
1350,"6,73991651","10,58557827","0,63671","-1,960600709"
1400,"8,224822103","10,51125456","0,78248","-1,065280406"
1450,"11,10678524","12,05624492","0,92125","-0,3562368753"
1500,"15,31970443","13,57121672","1,12884","0,526316005"
1550,"18,5213652","14,239937","1,30066","1,141649272"
1600,"10,25369255","15,9926418","0,64115","-1,930399188"
1650,"8,618008017","19,42610175","0,44363","-3,529787654"
1700,"13,25880526","20,59222717","0,64387","-1,911989287"
1750,"18,57742614","21,52938825","0,86289","-0,6404614636"
1800,"23,2682268","22,87252346","1,01730","0,07449206585"
1850,"33,28432074","22,60313913","1,47255","1,680709401"
1900,"29,69978935","22,70752389","1,30793","1,165835893"
1950,"13,81330366","21,87657694","0,63142","-1,996818092"
2000,"10,04696991","22,14435666","0,45370","-3,432279661"
2050,"15,23741016","22,93179735","0,66447","-1,775269372"
2100,"19,20961197","23,42931896","0,81990","-0,8624107248"
2150,"26,73474108","24,23476881","1,10316","0,4263710133"
2200,"42,26862833","24,56068597","1,72099","2,357776623"
2250,"26,12959217","25,39168054","1,02906","0,1244118586"
2300,"9,133885944","27,0631934","0,33750","-4,717234569"
2350,"10,45647671","27,91669154","0,37456","-4,264785735"
2400,"15,88346324","28,01718568","0,56692","-2,464793061"
2450,"25,28838333","27,23762221","0,92844","-0,3224812579"
2500,"38,54036601","27,36107153","1,40858","1,487827333"
2550,"49,62971008","26,43624432","1,87734","2,735419813"
2600,"26,38939072","24,63839167","1,07107","0,2981700851"
2650,"7,276829137","24,39191207","0,29833","-5,253036682"
2700,"9,296913713","23,61005285","0,39377","-4,04758159"
2750,"14,27719489","25,86990862","0,55188","-2,581520068"
2800,"23,10476505","25,22925094","0,91579","-0,3820279986"
2850,"35,11206419","26,70900027","1,31462","1,187987293"
2900,"34,69809108","27,25657557","1,27302","1,048342911"
2950,"18,77342048","27,38839272","0,68545","-1,640231391"
3000,"7,460530811","28,0478953","0,26599","-5,751305493"
3050,"11,072083","26,71388603","0,41447","-3,825077361"
3100,"18,09882566","26,11713739","0,69299","-1,59275177"
3150,"24,81308928","25,61330923","0,96876","-0,137848546"
3200,"34,50907653","25,35342404","1,36112","1,338967175"
3250,"32,12300964","29,9658561","1,07199","0,3018953839"
3300,"14,90527471","28,08109251","0,53079","-2,750740156"
3350,"5,878357742","29,00007411","0,20270","-6,931430951"
3400,"10,32668241","28,52139991","0,36207","-4,412100173"
3450,"16,17245605","30,52753615","0,52977","-2,759157746"
3500,"26,43387471","31,36618578","0,84275","-0,7430088321"
3550,"33,84945559","32,73632262","1,03400","0,1452179613"
3600,"25,15048888","32,12889992","0,78280","-1,063494244"
3650,"9,538868978","29,23013327","0,32634","-4,863339119"
